Gene,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96,id97,id98,id99,id100
x1,2.83123,2.44777,3.06731,2.45154,4.70095,1.39381,2.76469,3.47895,1.10708,2.54040,3.63762,2.05252,3.52939,1.03266,2.55120,3.66037,1.46486,4.20280,4.12269,0.69160,4.20383,3.77927,3.90381,3.50610,1.99992,5.36563,4.02854,3.25086,1.55026,2.23353,3.61134,2.71136,3.16925,2.13485,2.22320,2.61431,2.38433,5.54801,1.26716,1.66959,4.09346,4.00738,0.84797,2.77089,2.53584,2.27907,3.14902,4.62920,2.27836,3.18496,3.89343,4.02560,5.28823,3.29352,3.08545,5.42148,4.30717,4.89036,3.57197,4.02119,3.17959,5.41483,4.93422,1.92975,3.92566,4.24266,5.05627,4.95738,3.98179,2.80046,3.78525,4.17495,3.61316,3.96532,3.67950,4.16066,3.73377,4.36656,3.74089,4.97731,3.22374,4.34464,4.15356,3.71040,2.95482,4.26710,3.38002,5.27777,2.42332,2.77445,3.49647,2.97584,4.68319,6.24150,5.17862,5.11456,2.25238,4.37212,5.20899,4.49640
x2,4.37676,1.37232,3.59356,3.32270,3.30313,2.70711,3.30219,2.40370,2.20212,2.52648,4.13937,1.21674,2.11416,3.71296,5.13077,4.76877,2.39510,3.24799,3.10420,2.97637,1.91502,2.53258,0.04227,3.03936,5.63804,2.38333,2.77817,1.50124,1.33690,3.09918,3.10832,2.65222,3.15513,3.95789,2.61902,1.52608,3.27947,1.94650,3.11261,2.05014,3.99247,3.55015,3.02896,2.83702,3.39606,4.54198,1.43569,2.31775,3.58227,2.65488,2.90827,3.72603,2.92358,4.53939,4.52684,4.84733,5.36603,3.99804,4.57578,3.44898,4.79137,4.86644,5.26256,2.51968,2.93313,5.49975,6.18241,2.87339,3.96300,3.21680,6.12002,2.99778,4.54414,4.96301,4.98015,4.93698,3.76781,5.90431,4.77890,3.37005,5.52750,3.19254,2.26159,3.62898,3.60968,2.94302,3.86103,4.22855,5.62961,5.39282,4.61199,3.18715,4.88455,2.60014,3.35217,3.97476,3.79597,3.04982,3.42417,5.22611
x3,2.07389,3.36653,3.17206,4.21193,1.26975,3.65707,3.57818,3.80609,2.30504,2.83627,2.75801,2.87486,4.20661,2.04507,2.87215,3.09162,2.49757,2.86577,3.00640,3.98449,3.26263,2.89273,3.59340,3.66052,2.69872,4.09841,3.26414,1.69310,4.18302,3.25547,2.70909,4.68361,2.40451,2.37631,3.74287,2.36943,2.52521,2.97101,1.42951,2.68642,2.30457,2.23297,2.81601,1.14391,3.71680,4.51835,1.42063,2.21530,1.53261,3.97237,4.15222,4.38906,3.45828,6.16821,4.10656,4.53413,5.30110,3.13805,2.33200,2.22453,4.42024,5.37649,2.59901,4.28925,5.02498,5.32652,3.25500,4.74499,4.52820,3.57870,4.11339,3.96410,4.45585,4.96917,5.59014,4.99382,4.48042,5.07024,4.27169,5.09902,3.47295,2.64946,4.42763,4.33447,3.96492,3.69982,1.72243,3.64291,2.91402,4.82069,6.98711,4.18849,4.71564,5.07537,3.78391,4.07538,4.20825,2.95323,4.45052,2.53145
x4,3.17726,4.55850,3.97461,3.81148,0.91359,3.24167,2.87042,2.89410,2.95851,3.15142,3.36767,0.66157,4.87634,1.28001,2.79712,4.30271,1.45462,3.61791,1.73693,1.97571,2.51021,1.46770,1.93549,3.23639,2.91940,3.73181,2.26088,2.57227,3.75325,2.67663,3.36667,2.55091,4.35194,1.91788,2.54736,4.46771,4.87218,1.84877,1.39168,3.54538,3.79194,3.29194,1.19667,1.17894,3.97048,5.08005,4.22115,2.13448,4.80152,3.35906,3.00570,3.77340,3.93098,0.31569,3.66004,4.45293,5.26081,2.82893,2.65515,2.56946,3.41062,2.87749,4.94172,3.82518,5.14130,4.68215,5.86427,4.70228,2.50611,4.31452,4.25223,3.33099,3.90932,2.22943,5.37340,3.92909,2.94895,3.46190,4.49970,5.16588,4.75882,5.00996,4.50849,2.15165,4.73359,5.54062,3.68456,5.16792,4.57643,3.71402,4.95493,5.04514,4.72430,2.32600,5.02050,3.15527,4.09965,3.80422,4.35962,3.69557
x5,0.97063,0.87671,5.09943,4.23656,3.19007,2.47689,2.98978,2.40837,3.87342,3.45004,4.15702,4.22060,2.97750,1.15924,1.45822,2.59444,2.24833,2.16396,2.53727,2.87602,3.41275,5.80808,2.73464,3.87871,2.92613,2.44823,2.56607,2.14693,3.75954,1.36882,1.89510,2.94194,1.13457,1.92730,3.66183,2.45665,3.34037,1.92541,3.59556,3.83793,4.21392,3.53651,2.46398,4.10316,1.80930,5.43565,4.29110,3.79902,2.37736,4.06019,5.05198,3.95378,3.66911,3.29816,3.00822,4.00447,5.08838,4.34091,3.07340,3.77413,5.13279,3.87831,3.67216,5.92968,5.68882,4.43328,3.48771,4.05422,4.68716,3.51616,4.21307,4.42541,4.14896,1.99331,4.69354,2.60652,3.22782,4.24423,4.32522,5.05991,4.76432,3.81305,4.05692,5.18839,2.57100,2.07702,4.22805,5.91076,2.39997,3.88694,3.89558,3.71732,5.69358,4.34314,2.98697,5.17627,4.32721,3.64959,3.41116,2.05722
x6,1.70199,2.46126,1.54219,1.94854,2.99023,1.78042,2.90445,3.23901,3.78610,1.71933,1.82146,3.53065,4.93341,2.16528,2.39242,2.70122,3.08975,3.91922,4.59525,1.99826,2.35869,3.72347,2.56646,1.91267,2.63748,3.85981,2.33631,2.28354,1.95639,2.84348,3.07618,3.18433,2.89783,3.40206,2.32467,3.00323,2.80626,2.91046,3.81480,3.72543,1.90363,3.05032,3.08054,4.79829,2.17502,2.74964,1.68675,4.13450,2.72473,1.70400,3.49285,5.48854,3.84993,4.72380,3.40837,3.84016,4.30087,2.70704,2.98088,3.58662,3.90631,4.50070,4.24606,4.85502,3.60512,4.09071,3.83935,4.38874,5.02025,4.15815,4.60279,2.83084,3.61832,4.68750,3.34153,3.35724,2.94501,5.49101,3.97636,3.53096,4.75904,4.05259,3.68683,3.42153,6.40848,2.75879,5.08256,3.14377,2.82749,3.76999,4.07278,3.54176,4.83474,4.75538,5.06615,4.54749,3.77882,4.18461,2.69602,1.92645
x7,1.09459,2.39638,3.77849,3.34164,3.01195,1.64358,3.89467,2.48700,2.84072,3.39239,0.33943,2.58396,4.50541,2.05433,3.85251,4.09014,2.56416,3.40118,3.45678,4.35080,2.58229,2.78588,2.78267,3.68177,4.24104,3.51021,2.80069,4.14590,1.76547,1.98822,1.10654,3.44641,2.62861,3.58152,4.20245,2.95725,3.74018,2.54488,3.41759,4.06258,4.65400,2.22060,3.44388,2.16470,2.87229,3.92440,2.74346,1.70850,3.27589,0.53849,4.68975,4.01438,4.98140,2.80754,3.09172,4.86301,4.14483,2.32426,4.18531,3.02398,5.63973,5.84463,4.35077,3.80724,2.82504,3.65186,4.39968,4.11120,4.08878,3.54170,2.24792,3.25624,2.08337,5.16339,3.56244,4.67021,4.91729,2.19901,4.39242,4.86987,3.58208,5.06593,3.96991,5.55344,4.67529,3.45711,3.60793,3.94033,5.18039,5.20543,3.76006,3.73850,5.28446,3.45169,4.83076,2.92018,2.61438,4.05715,3.47593,4.55267
x8,4.02794,4.45539,1.48468,3.78884,4.27732,2.99758,1.46277,2.14380,4.34544,2.40840,2.29532,3.16547,4.29459,1.16444,3.18104,3.23471,3.53762,1.89489,1.43388,0.62592,3.91383,1.66654,3.14102,2.51023,2.97026,4.51153,2.43151,3.72655,2.11045,1.72341,2.65484,2.55055,2.86694,2.40558,2.37978,2.49650,3.84808,3.53425,2.08672,3.82515,2.42336,3.67887,2.80258,2.47159,4.29600,3.70279,2.31871,4.32289,2.94228,1.84041,6.11276,3.42120,5.31804,2.47695,5.45469,3.16768,2.21551,5.14979,4.74161,4.54462,3.23488,4.12059,4.74628,5.95350,3.76694,3.06765,2.82833,4.53611,4.55064,3.67475,4.35235,4.78578,4.02927,6.43797,4.45792,5.47886,6.08793,4.53535,2.81161,4.76686,3.60114,6.12705,4.17343,5.26114,5.36103,4.90229,5.05792,2.48340,4.54633,5.12106,4.15036,4.97058,4.65794,3.83175,3.28149,3.19931,3.48762,2.97696,4.28965,5.50693
x9,4.67294,2.51509,3.19175,1.52570,0.47744,3.64837,5.26222,3.87424,3.82439,2.62409,4.09234,3.84097,4.02539,1.68075,3.54747,2.44229,5.17218,3.86163,3.36679,3.62461,3.83606,3.00433,3.63064,4.19507,2.28524,1.54151,1.47025,4.05359,3.70270,4.75952,4.93980,5.31986,2.38267,4.63613,3.19469,3.19830,1.95212,3.62134,3.70558,0.93043,2.54698,2.70170,1.00082,3.24595,2.90496,3.30917,1.62393,1.76885,2.19280,4.30969,4.13695,4.12456,3.69091,3.84242,3.70003,4.48474,2.54023,3.77545,5.13218,3.48131,5.71588,5.01096,4.30130,2.66507,5.01574,5.57490,3.51397,3.24776,5.46401,3.24363,5.41900,5.08231,5.22762,3.27687,4.09901,3.34651,4.88827,4.10441,3.71280,3.43710,3.88731,3.05927,3.14510,5.12130,3.24212,4.49886,2.61723,3.41803,4.23111,4.00205,2.88461,4.35031,4.59383,3.20006,4.38832,4.15840,6.07427,5.24158,2.63781,3.59602
x10,1.81528,5.55468,1.45332,4.00802,1.48732,1.65893,0.94164,1.95031,4.04365,2.66982,2.67617,4.50683,3.13041,2.32997,1.98299,3.76200,1.67806,3.46235,3.46806,2.01575,4.46646,3.04865,2.32464,3.77971,2.06503,4.16429,4.34068,5.80804,2.21583,3.12769,2.65915,3.35703,3.75059,1.78215,1.32368,3.92815,2.50167,2.19867,4.15352,2.89591,3.29653,2.42209,4.19754,3.26359,2.25686,3.58877,3.16035,5.06858,5.11629,2.17624,3.62454,3.53873,3.27836,6.05814,5.68017,3.32389,4.79751,3.66212,3.48096,5.07434,3.22301,3.41443,2.13383,3.59331,2.97318,5.31436,3.17671,1.97930,3.19106,2.21708,4.84084,3.95531,2.20708,4.70250,3.07126,3.12106,4.12914,4.83124,5.60154,2.37391,2.96300,3.69493,5.27093,5.42049,4.62727,3.63568,2.45826,2.77518,3.36875,4.00533,1.66378,5.29311,4.67007,4.58675,4.32255,3.27027,4.35694,4.53600,3.96138,5.42612
