id,rL,rLrL,rQvrai
1,-0.48146,-0.53910,-0.58837
2,-0.96240,-0.96772,-1.04409
3,-1.16411,-1.13706,-1.11089
4,-0.94482,-0.95266,-0.97081
5,-0.98387,-0.98603,-0.95685
6,-0.40075,-0.46375,-0.48803
7,-0.81703,-0.84186,-0.86537
8,-0.93646,-0.94549,-0.83728
9,-1.58861,-1.47330,-1.57504
10,-1.12466,-1.10442,-1.00137
11,-0.96031,-0.96592,-0.99050
12,-1.04119,-1.03460,-1.05856
13,-1.08212,-1.06896,-1.16104
14,-1.25712,-1.21306,-1.21371
15,-0.70297,-0.74086,-0.66208
16,-0.66522,-0.70701,-0.67236
17,-1.59183,-1.47575,-1.41146
18,-0.83801,-0.86022,-0.87806
19,-0.84332,-0.86486,-0.87925
20,-1.08431,-1.07080,-1.07822
21,-1.17879,-1.14913,-1.27419
22,-1.03873,-1.03252,-1.05467
23,-0.60378,-0.65143,-0.67201
24,-1.03486,-1.02925,-0.97127
25,-1.08968,-1.07529,-1.08694
26,-0.98813,-0.98966,-0.88810
27,-0.77353,-0.80358,-0.78027
28,-0.60173,-0.64958,-0.66025
29,-1.22333,-1.18560,-1.14284
30,-1.04743,-1.03985,-1.00731
31,-0.68690,-0.72647,-0.76668
32,-1.08032,-1.06746,-1.05692
33,-0.88992,-0.90536,-0.81449
34,-0.59471,-0.64319,-0.74379
35,-1.14764,-1.12346,-1.14573
36,-1.01252,-1.01037,-1.02692
37,-0.85019,-0.87085,-0.92968
38,-0.66822,-0.70971,-0.64118
39,-1.32300,-1.26610,-1.21082
40,-1.27454,-1.22715,-1.28686
41,-0.78178,-0.81085,-0.86794
42,-0.86914,-0.88734,-0.92050
43,-0.85982,-0.87924,-0.90742
44,-1.41869,-1.34198,-1.26999
45,-0.77832,-0.80780,-0.74202
46,-0.95059,-0.95761,-0.87918
47,-0.74907,-0.78191,-0.70371
48,-0.90370,-0.91728,-0.97675
49,-1.19472,-1.16222,-1.15059
50,-1.14017,-1.11728,-1.19163
51,1.28629,1.33725,1.30222
52,0.54533,0.49317,0.48512
53,1.36486,1.43163,1.46229
54,0.84137,0.82044,0.82930
55,0.73307,0.69917,0.67145
56,1.13860,1.16237,1.16130
57,0.63779,0.59395,0.63125
58,0.97424,0.97164,0.85642
59,1.34049,1.40226,1.39459
60,1.05935,1.06989,1.01516
61,0.68393,0.64474,0.63219
62,1.24102,1.28329,1.20638
63,0.88669,0.87172,0.88373
64,1.48822,1.58170,1.57712
65,0.85889,0.84023,0.85579
66,0.59557,0.54777,0.58364
67,1.12871,1.15078,1.14956
68,0.98170,0.98021,0.92947
69,0.55553,0.50422,0.54685
70,1.07280,1.08552,1.11826
71,1.02616,1.03145,0.98188
72,1.11923,1.13968,1.18527
73,0.91882,0.90824,0.93719
74,0.80750,0.78233,0.82207
75,1.16966,1.19887,1.25668
76,1.01058,1.01346,1.06193
77,0.80482,0.77931,0.68165
78,0.38917,0.32588,0.30219
79,1.11549,1.13531,1.13509
80,1.24285,1.28547,1.28272
81,1.16844,1.19744,1.24790
82,0.88003,0.86415,0.88384
83,0.79748,0.77108,0.95536
84,0.97843,0.97645,0.96516
85,0.77654,0.74764,0.79076
86,1.00173,1.00326,1.01721
87,1.07418,1.08713,1.08659
88,0.88194,0.86632,0.83708
89,1.14378,1.16845,1.17904
90,1.02677,1.03216,1.06481
91,0.89238,0.87817,0.79735
92,0.82010,0.79648,0.97602
93,1.10496,1.12300,1.02689
94,0.84156,0.82066,0.78231
95,1.09452,1.11082,1.10625
96,1.28074,1.33063,1.25383
97,1.21305,1.25012,1.24793
98,0.96684,0.96314,0.94395
99,0.68825,0.64950,0.56531
100,0.57412,0.52441,0.54763
