Gene,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96,id97,id98,id99,id100
x1,3.07661,1.60817,3.87011,3.27408,1.73040,3.22504,2.60573,4.13111,3.91449,2.50960,3.69862,2.87507,4.12282,3.53595,3.18430,3.63889,1.62646,4.58896,2.63831,4.63824,3.54118,2.73104,1.66261,2.60039,3.81176,3.52503,2.95088,3.50091,3.68713,3.20518,2.61030,0.37944,2.83835,3.49981,3.55485,3.75178,3.72794,4.43704,5.10061,3.45313,2.89865,4.32537,2.34925,1.17053,1.88883,2.84951,1.65517,3.91470,3.24278,4.40689,3.06018,4.66827,2.79174,2.39856,4.56006,3.02862,4.71754,2.83714,2.99281,4.86931,3.20357,2.18637,4.70906,4.10140,1.59908,2.36576,4.86785,4.35995,4.53265,4.44316,2.16371,3.28437,4.72762,3.37686,3.05565,2.65159,1.84014,3.95865,3.42827,1.63825,4.71126,6.29929,3.62399,3.39717,3.92024,4.16116,3.58025,3.81462,4.86785,3.06386,2.34190,3.09714,5.13259,5.39903,3.35531,3.53453,4.44172,4.61210,2.55855,4.07183
x2,3.20074,2.90972,2.97303,3.88845,2.60132,2.46589,3.33636,3.89065,1.20524,1.44220,4.28927,2.09723,2.43004,3.70988,1.56575,4.90500,2.50364,3.65319,5.00394,2.73086,2.94020,4.43343,3.50543,2.84427,3.85775,3.31918,4.13546,2.61462,1.99545,2.54706,2.39733,3.73733,3.44818,1.79011,3.57350,3.60949,1.97401,4.38115,3.36551,2.46153,5.09526,2.97158,3.02348,3.95264,1.89615,3.55333,3.38240,3.07304,3.29383,2.89237,3.78188,3.12781,2.83820,3.83385,2.20596,4.18674,1.83952,4.57937,5.40489,4.44777,2.92399,3.89796,4.70380,2.45587,4.79688,4.69838,3.61028,2.50368,5.00283,2.95341,3.12941,4.06718,2.13312,2.79686,3.35112,2.33645,5.04277,4.67049,4.09533,4.44547,3.08944,4.29555,3.35888,4.54036,4.21365,3.92089,4.24222,3.99999,1.79884,4.98064,4.94134,2.76766,2.53402,2.95864,4.41172,2.67862,1.87711,2.03959,3.70617,1.59419
x3,2.63401,5.57972,2.46613,3.62105,2.83203,4.48739,4.06457,3.01743,4.00424,2.37692,2.05142,3.65715,2.34292,4.86089,2.98525,4.52542,5.81461,2.24952,2.75010,2.39870,4.14443,2.53894,5.84558,4.14493,3.17179,4.64042,3.57958,2.84734,4.60121,4.49715,3.92197,1.44899,3.79842,2.58863,3.85101,3.21953,4.11611,2.01458,3.36527,3.93801,1.61964,1.83426,2.97496,2.75493,1.01682,4.00906,2.52356,3.91084,2.28941,2.29389,2.77526,5.66736,2.46838,3.79716,4.22046,3.83145,4.25483,4.08066,4.49311,2.75141,3.98529,3.15267,3.53139,3.30188,2.06320,4.09367,5.45027,5.30570,4.31865,5.03174,4.72002,4.80449,5.79961,3.43913,2.99344,4.29130,4.13315,4.26230,4.11654,4.18268,2.91607,5.08614,2.80722,3.60513,4.44889,2.92290,3.61242,4.18352,3.57356,3.99067,4.71943,4.10663,2.44098,2.55028,5.36895,2.45604,4.33328,4.17414,5.29298,5.19278
x4,2.71954,2.60634,2.50328,2.09376,3.77848,4.46786,3.44487,3.19922,3.49303,3.05961,3.62378,4.45344,4.90068,3.93870,1.52969,3.21661,2.64618,2.76730,3.31508,2.94585,1.29520,3.68357,2.41663,3.59831,3.34790,1.98523,3.95801,4.15535,3.16503,2.20553,4.54000,2.72944,2.77619,3.45263,1.90023,3.71386,3.32739,3.08940,2.97197,2.17405,3.49780,4.42926,1.16495,3.59285,4.12662,2.22751,2.58556,4.42314,3.89447,2.64726,3.38320,3.66814,3.67217,4.05881,4.52070,3.79160,2.95315,2.68328,3.21582,2.57083,2.44092,4.05933,4.36602,3.37514,4.28396,3.11051,4.50128,3.55296,3.53460,3.88136,5.26952,2.20033,4.10238,3.08542,3.39525,3.86107,4.78233,4.86744,1.75350,5.57081,4.27953,1.82484,2.71535,3.88825,3.24780,4.35588,2.55387,2.60363,2.34661,3.82157,3.05857,3.85238,4.82996,3.66033,4.64096,5.52110,3.67163,3.66695,3.99181,4.38683
x5,2.65312,4.15938,2.51328,1.98503,3.14875,4.12767,3.77675,2.88473,2.40644,3.18226,3.72100,2.53269,2.69462,3.10473,2.89572,3.25221,5.51886,2.41128,1.59495,2.40326,1.80233,4.14412,4.00335,2.00261,2.65253,4.58663,2.64118,2.48687,4.19638,4.22532,4.44952,2.19189,2.46714,3.08390,2.30684,4.73562,5.59630,3.17695,3.11542,3.40637,3.05713,3.94983,2.71116,2.80083,4.19163,4.68199,2.88354,3.30845,4.74649,2.83754,3.70556,3.74509,4.57939,4.21946,1.51325,5.06933,3.19531,3.85021,3.94872,3.49177,4.25955,4.60816,3.99177,3.76119,3.30558,3.27156,4.49104,4.79928,4.83080,2.11497,4.36533,3.36649,3.12819,4.16226,4.08688,4.36132,3.68901,3.04961,4.72408,2.52835,1.55956,3.63082,2.09666,3.96964,4.66343,4.59914,5.76226,3.38875,3.73036,3.38100,3.12598,3.77965,4.33036,2.25935,2.76987,3.96368,2.92741,3.04992,3.80555,3.86901
x6,3.37858,2.53582,3.84247,1.72026,4.91574,3.31448,3.39940,1.49839,1.81410,3.19978,3.83771,0.76216,3.78425,3.01163,5.03930,3.34812,2.53618,3.56246,4.38278,3.00346,4.22025,2.70065,3.65438,1.50319,3.17945,2.11507,2.82463,2.29977,2.11727,4.78682,4.04502,2.70817,3.47520,2.98193,2.86298,4.46940,3.07003,3.74245,2.33404,2.37191,2.62988,0.42781,2.48735,4.40404,3.64047,2.75827,4.02913,3.51203,3.36006,3.95264,2.38477,3.27623,3.08458,4.65544,4.87288,2.63463,3.39602,4.94176,4.00547,2.96571,3.34649,4.82488,2.05496,2.89460,5.06962,3.78987,4.19627,3.78509,4.02971,2.73647,3.45411,2.23371,4.27831,4.95745,3.35995,3.06034,2.99929,3.81216,4.03448,4.73759,4.05624,4.52550,3.63981,3.35765,3.50289,3.68544,2.99791,3.96346,4.71857,3.60144,3.47175,5.47491,2.21981,3.81982,2.27893,4.44947,3.67862,4.01314,2.88656,4.73032
x7,2.72174,2.46723,2.37668,1.96625,3.64594,2.16602,3.21402,4.36159,2.10634,1.49812,2.18528,2.29731,4.66334,4.45563,2.59545,3.65697,1.21182,5.20255,2.33929,2.06195,2.65511,2.23547,3.78138,4.38859,3.48919,2.58039,3.42811,2.86974,3.08538,2.16798,3.83302,2.73587,5.22276,5.26873,2.97747,0.10189,3.26290,3.87150,3.47515,4.45985,2.54235,3.31357,3.60700,3.40308,1.96952,2.92304,4.64257,2.42964,2.56069,2.82182,2.46209,4.84871,2.79060,4.27460,3.13705,3.79204,2.49697,4.00544,3.85538,4.22600,2.09475,3.76812,3.99773,4.11747,4.73233,3.28790,5.40899,4.95035,5.01138,4.11959,2.68697,3.86190,3.32786,3.98770,3.30537,2.25406,3.07942,3.38476,2.75438,3.86940,4.54675,3.48439,5.03957,4.47863,2.07975,4.97491,2.48240,4.20604,1.75801,2.96890,3.73987,2.36586,3.21126,2.67550,3.74609,3.77496,4.44025,4.54322,4.78069,3.09688
x8,4.29348,3.25284,1.64886,2.27395,3.64978,3.70988,3.37962,2.98490,4.89300,4.44391,5.37792,5.42280,3.11741,2.77719,4.49532,3.43034,3.79150,1.91107,2.87566,3.73688,4.31614,2.73774,2.64233,1.61124,3.83620,4.81280,2.60851,2.93749,3.85695,1.70313,2.09855,2.34320,4.92659,3.09834,3.06329,1.83863,5.98845,2.26047,1.55647,3.37883,3.27466,4.27768,2.41266,5.14122,1.80504,2.74048,4.44815,3.27089,2.45643,2.90139,5.60936,1.77969,3.80556,5.33438,4.01967,2.48776,3.86865,3.16235,4.71761,2.13149,5.32855,5.56258,1.87753,4.12643,4.21544,3.68196,3.05767,4.38754,3.47082,4.19857,5.64882,3.57837,4.62874,4.61996,3.90742,4.23958,3.64287,2.72546,4.64864,4.74313,4.03990,3.77336,4.70450,3.50144,2.94367,3.85913,5.94235,5.05791,4.94701,2.29685,2.32222,5.54338,4.95168,4.97579,4.58259,4.34198,4.07529,3.63451,4.95055,2.84229
x9,3.89517,2.49984,1.55941,3.86621,3.30143,4.12601,1.83917,1.73203,3.67236,2.46573,3.25111,4.19615,4.33691,5.29771,4.44718,1.77837,2.54920,3.91069,4.54085,3.16725,4.03187,3.79667,4.46252,1.87190,3.07163,4.44554,1.41028,2.73804,1.85197,2.44855,2.86901,2.38210,3.26715,3.36833,2.17890,3.18423,3.52746,1.21716,4.79594,3.26945,3.63012,1.78883,2.21412,2.73932,2.96446,2.74495,2.48375,2.84715,3.26871,2.25898,4.12869,4.61278,4.80676,3.57348,2.24216,4.20983,4.38550,4.56186,4.35310,4.19965,1.98474,3.79717,5.81997,5.33916,4.05271,4.62665,4.05362,3.34927,4.29737,3.78559,4.88560,2.71950,4.05819,3.92011,2.98882,3.99718,4.73270,2.71485,3.62462,4.24604,3.56773,3.63721,1.88059,2.99739,5.68670,2.83042,3.90682,4.98424,4.75175,1.22710,3.95486,4.53165,5.52070,3.32349,3.86505,2.25286,4.94236,4.28589,3.73306,3.79327
x10,3.18122,3.21694,3.57338,3.82395,2.86522,3.26930,3.38218,2.00825,2.94761,2.23057,4.72773,3.01793,1.57812,2.63218,3.87796,4.24284,4.34309,2.43706,3.11386,3.63609,4.95868,1.53737,3.29769,3.66801,3.42132,3.15459,3.80098,3.71958,2.59382,3.48169,3.35412,1.90761,4.68114,2.50230,2.14014,2.31620,2.51435,3.66676,2.81269,3.11056,2.77942,2.45185,4.22845,2.71854,3.05338,2.36326,4.37135,3.43659,3.17369,2.18686,2.65203,3.49772,2.53122,4.58682,4.29575,2.23711,2.87566,3.75029,3.04934,5.39784,4.02937,1.71285,4.78719,3.24049,3.58689,2.57482,3.16302,3.89895,3.50730,3.31236,4.57368,4.47899,2.84962,3.38749,1.90597,2.06235,3.09422,3.35689,3.90948,2.11982,2.77762,4.39556,4.16226,4.42985,3.97739,5.30974,1.78025,2.82479,2.83249,3.38888,3.32643,4.56578,4.94309,2.57783,3.14337,4.21517,6.07792,3.08588,2.94493,3.92529
