id,rL,rLrL,rQvrai
1,-1.00458,-1.00005,-1.16386
2,-0.51527,-0.54549,-0.38601
3,-0.94639,-0.94710,-0.85439
4,-1.46842,-1.41134,-1.42079
5,-0.12923,-0.17189,-0.11401
6,-0.98829,-0.98525,-1.01845
7,-1.57373,-1.50206,-1.49230
8,-0.88500,-0.89091,-0.98919
9,-1.95115,-1.81913,-1.47922
10,-1.17627,-1.15451,-1.13384
11,-0.57613,-0.60319,-0.54748
12,-0.95644,-0.95627,-0.80524
13,0.34102,0.30104,0.30525
14,-0.44281,-0.47638,-0.46528
15,-1.18442,-1.16177,-1.07831
16,-0.99874,-0.99474,-0.95064
17,-0.69412,-0.71410,-0.71075
18,-0.73473,-0.75199,-0.68472
19,0.03564,-0.00831,0.02176
20,-1.06311,-1.05300,-1.07999
21,-0.57436,-0.60151,-0.58123
22,-0.86693,-0.87431,-0.87294
23,-0.84260,-0.85192,-0.94510
24,-1.95757,-1.82442,-1.68965
25,-0.71969,-0.73797,-0.93643
26,-0.78735,-0.80087,-0.62211
27,-0.92435,-0.92696,-1.00373
28,-1.28821,-1.25381,-1.32254
29,-1.02958,-1.02270,-1.12428
30,-1.27905,-1.24572,-1.27552
31,-1.16872,-1.14777,-1.20856
32,-1.04572,-1.03729,-1.13774
33,-0.84062,-0.85009,-0.74287
34,-0.86141,-0.86924,-0.67683
35,-1.16930,-1.14828,-1.19735
36,-0.70998,-0.72891,-0.74312
37,-0.90074,-0.90535,-0.87201
38,-1.41826,-1.36778,-1.36771
39,0.43404,0.39692,0.39762
40,-1.25422,-1.22378,-1.28282
41,-0.62716,-0.65131,-0.75920
42,-0.38829,-0.42406,-0.42069
43,-1.27939,-1.24602,-1.34240
44,-0.40737,-0.44240,-0.45812
45,-0.95941,-0.95898,-0.98019
46,-1.16404,-1.14359,-1.15213
47,-0.38999,-0.42570,-0.31758
48,-0.94862,-0.94914,-1.11226
49,-0.68293,-0.70363,-0.83616
50,-0.59464,-0.62067,-0.54147
51,0.00377,-0.04013,-0.05345
52,1.46727,1.51343,1.46855
53,1.51767,1.57032,1.68664
54,1.21223,1.22904,1.10788
55,1.12188,1.12967,1.08887
56,1.04364,1.04421,0.88283
57,0.71010,0.68596,0.57911
58,0.11257,0.06884,-0.02026
59,1.56429,1.62313,1.59846
60,0.85291,0.83814,0.81930
61,0.93487,0.92630,0.96427
62,1.33513,1.36536,1.33297
63,1.53499,1.58992,1.55643
64,0.13773,0.09419,0.24918
65,0.83343,0.81728,0.93725
66,1.97782,2.10006,2.05469
67,0.82730,0.81072,0.81566
68,1.00949,1.00707,1.01018
69,1.30934,1.33665,1.42448
70,0.69503,0.67001,0.61905
71,1.09059,1.09543,1.09009
72,0.53789,0.50486,0.55615
73,0.96796,0.96205,1.04361
74,1.10804,1.11452,1.03051
75,-0.07954,-0.12285,-0.21880
76,1.39907,1.43682,1.57014
77,0.17142,0.12822,0.15214
78,0.62772,0.59900,0.51085
79,0.53391,0.50070,0.44788
80,1.25271,1.27379,1.21406
81,-0.12525,-0.16797,-0.25731
82,0.92653,0.91729,0.86280
83,0.77424,0.75408,0.90892
84,0.82846,0.81196,0.84464
85,0.71504,0.69120,0.75235
86,0.47168,0.43593,0.38535
87,1.09556,1.10086,1.03318
88,0.81261,0.79501,0.78762
89,0.89956,0.88824,1.00170
90,0.39369,0.35523,0.46943
91,0.44902,0.41242,0.39509
92,0.89552,0.88389,0.87331
93,0.68144,0.65564,0.64591
94,1.42595,1.46696,1.46431
95,0.44140,0.40454,0.37520
96,0.55543,0.52319,0.51652
97,1.87241,1.97706,1.95810
98,0.16334,0.12004,0.13153
99,0.69187,0.66666,0.51028
100,1.77890,1.86876,1.99491
