Gene,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96,id97,id98,id99,id100
x1,2.25715,-0.31759,0.48402,-0.90302,2.30160,-0.68327,0.37462,-0.50823,-1.07293,0.08655,-1.28255,-0.45668,0.45151,-0.65556,-1.07517,-0.89326,0.30969,-0.21210,-1.79257,1.04443,0.83991,1.30363,-0.81258,1.97238,-1.11667,-0.99429,1.18845,0.32405,-0.33756,1.45508,-1.10891,-0.27241,-0.82442,-0.17409,0.65814,-0.78489,0.97365,-0.14166,1.38317,-0.48368,-1.52307,-2.25434,-0.27916,0.78569,0.26221,-0.34953,0.55183,-1.24531,1.20300,-1.37157,0.46635,0.24841,-1.51322,-0.05349,-0.97957,-0.07283,-0.73295,0.77726,-0.52700,1.95544,-0.31800,1.45846,-0.89971,-0.25273,0.49973,-0.51888,0.52794,-1.50501,0.42969,0.83659,0.52195,0.38989,-0.98100,-0.31831,0.67148,0.93612,1.81527,-1.04070,-0.92806,1.26656,1.58498,-1.18030,-0.53588,-0.40639,0.73318,0.47251,-0.41778,-0.29374,1.16925,-1.22799,-0.09383,1.16142,-0.46336,-1.39495,-0.57965,-0.69516,-2.67131,-0.92454,-0.45272,1.35558
x2,1.77582,0.26621,0.37649,-0.58257,2.49202,-0.68100,0.63753,-0.19501,-1.60434,-0.03671,-1.19535,-0.14416,1.30397,-0.84448,-0.83090,-0.95915,0.05547,-0.70061,-0.88048,0.55029,0.99347,1.42049,-0.07249,1.41380,-0.56201,-0.83967,0.93192,0.32098,-0.34380,1.53899,-0.97610,-0.71922,0.12042,-0.52470,0.94487,-1.34072,2.19691,0.13913,1.40651,-0.38135,-1.28620,-2.63976,-0.21017,0.67423,0.21774,-0.84617,0.20168,-1.54027,1.08736,-1.39298,0.32493,0.19351,-1.14838,0.37516,-0.99259,-0.34931,-0.84030,0.23640,0.49979,1.46405,0.15215,1.11326,-0.91245,0.03122,-0.61658,-1.02281,0.06312,-1.42910,0.66609,0.89427,0.15152,0.48794,-1.06143,-0.27800,0.68252,0.59515,1.54259,-1.11140,-1.08783,0.93164,0.99922,-0.88434,-1.19550,-0.52363,0.33288,1.50952,-0.20223,0.53440,1.21302,-0.79556,-0.31382,1.92733,-0.85760,-1.08306,-0.38978,-0.86707,-2.11599,-0.90737,-0.93689,1.67000
x3,1.98551,0.09868,-0.16292,-1.53640,2.21484,-0.61149,1.22268,-0.03190,-0.42034,0.18337,-0.42610,-0.38901,1.51789,-0.91753,-0.56324,-0.70646,0.31091,-0.45422,-1.38252,-0.25229,1.34477,1.44592,-0.76680,1.99351,-1.40331,-1.47353,-0.55709,0.53457,-0.38749,1.24118,-0.52125,0.25983,-0.15345,-0.55181,1.50377,-1.16859,1.20271,-1.29651,0.70412,-0.07402,-2.23177,-3.05071,-0.50224,0.48502,0.27004,-0.99718,0.65841,-1.84671,0.73864,-1.22153,0.58797,-0.30344,-1.74373,-0.58131,-0.84569,-0.31814,-1.10910,0.62867,-0.93592,2.11686,-0.19359,2.27507,-1.01557,-0.72388,-0.17592,-0.32260,0.42038,-1.58161,0.65081,0.70683,0.18469,0.74535,-0.94866,-0.25226,0.99777,0.01446,1.77939,-0.87060,-0.51614,0.42653,2.56097,-0.07202,-0.54514,-0.75068,-0.52335,0.55590,-0.35098,0.46930,1.05107,-1.15471,-0.65561,1.80175,-0.60090,-0.82886,-0.47916,-1.30488,-2.11480,-0.82403,-0.36568,1.87249
x4,1.22011,-0.12101,0.47485,-1.53659,2.34366,-1.19442,0.40103,-0.25893,-1.78722,-0.13070,-0.57242,-0.61265,1.56619,-1.07434,-0.94065,-0.20434,0.53515,-0.99915,-1.23175,0.59216,0.36654,1.55562,-0.15235,1.21290,-1.63222,-0.97595,1.17643,0.59618,-0.87606,2.22380,-0.08590,-0.26089,-0.07521,0.32884,1.66078,-1.47533,1.49466,-0.67501,1.09457,0.09182,-1.86869,-1.25784,-0.14537,0.42412,0.42766,-0.47346,0.44879,-0.41608,1.74990,-1.42576,0.54888,0.81623,-1.41260,0.18623,-1.11477,0.94683,-0.91749,1.21987,0.42936,2.39350,0.50988,2.26671,-0.13213,-1.09633,-0.61739,-1.35804,-0.09338,-1.84666,1.63301,0.64545,0.06792,-0.38667,-0.89409,-1.10603,-0.51114,0.33452,1.51118,-0.60956,-0.10248,-1.03188,0.50792,-1.68235,-0.57293,0.94838,1.25820,1.14151,-1.25382,0.25682,0.70561,-0.46697,-0.03974,1.52042,-0.09948,-1.04120,-0.78793,-1.06124,-2.04663,-0.67173,-0.78833,1.27696
x5,3.19199,0.67652,-0.12370,-0.58888,1.30138,-0.17288,0.51924,-0.49498,-0.03067,1.00035,-1.10982,-0.58986,0.02581,-1.40651,-1.02704,-0.42531,0.46692,-0.19581,-2.26564,1.07399,0.56355,1.26305,-1.05979,2.01983,-0.77608,-0.35890,0.01636,0.33590,0.08151,1.31273,-1.31643,-0.21702,-0.49466,-0.29442,1.05575,-1.65314,2.21362,-1.21902,1.49451,-0.31133,-2.22706,-2.70038,-0.21252,0.69787,0.11162,-0.78698,1.06276,-0.06180,0.84974,-0.77725,0.52603,-0.26776,-1.97643,-0.06264,-0.38599,-0.96030,-1.72212,0.00501,0.21120,1.26215,0.46838,0.60332,-1.47623,-0.38550,0.68779,-1.04422,0.83227,-2.42637,1.03141,0.73545,0.98518,0.96156,0.52574,-0.59669,0.22393,0.39754,1.44859,-1.38552,-1.66747,0.53790,1.86699,-0.46745,-0.38989,-0.42262,0.76804,0.86756,-0.97857,0.14246,1.86157,-2.11050,0.33474,2.12435,-0.89340,-0.88289,-0.34474,-2.08784,-2.82620,-0.39874,0.65372,1.95510
x6,1.36911,-0.52025,0.32939,-0.12105,1.98349,-0.39591,1.64402,0.05916,0.83329,0.16654,-1.76961,-0.30583,0.84897,-0.17424,-0.71990,-0.49724,2.26982,1.61509,-1.73724,0.05842,2.17585,2.04224,-1.86129,1.45540,-1.40902,-2.68825,1.53320,1.44489,0.34993,0.64340,-0.51109,0.09001,0.02005,-0.27285,1.80113,-1.50015,0.91320,-0.69503,0.60290,0.41318,-3.22275,-2.48670,-0.02351,1.74291,0.12220,-1.10503,0.85955,-1.98401,2.76587,-0.99646,0.05829,0.58618,-0.41215,0.57034,-2.10982,1.40392,-0.13752,0.60623,-0.27482,1.65165,0.41954,1.12997,-0.10984,0.37670,-0.14606,-1.15703,0.95584,-1.02321,0.84617,0.44544,0.59065,0.02235,-1.81016,-0.36983,-0.74773,0.16436,0.53331,-1.65693,-0.19488,1.18467,2.24875,-1.39974,-0.24073,-0.41485,-0.32419,0.35405,0.03855,1.22959,2.32396,-0.54704,-0.05692,2.38942,-1.17858,-0.64490,-1.19541,-1.36634,-2.61414,0.12649,0.85588,-0.03956
x7,2.20346,-0.57332,-0.26898,-1.85527,2.48913,-0.35049,-0.05521,-0.84615,-0.43778,-0.71338,-1.33292,0.22100,1.11739,-0.30765,-1.03649,-1.79195,0.18884,-2.15048,-0.72553,0.14031,1.81019,1.09868,-1.05928,1.49398,-0.90495,-2.19695,1.67910,-0.56339,0.77452,2.88426,-0.48259,-0.25161,-0.34427,-0.15667,-0.87583,-1.50029,1.23758,1.08214,0.66498,-0.89607,-0.13586,-2.02921,0.05933,0.26768,0.81324,-0.98607,0.66577,-1.44018,1.02831,-0.54739,-0.10799,-0.05528,-0.94849,0.77911,-0.91895,-0.93882,-2.70064,0.38011,-0.92552,2.64931,0.50774,1.96132,-0.38452,-1.03995,0.31688,-0.71673,1.12215,-1.11560,0.63146,0.24453,1.10696,-0.10029,-0.71852,0.02664,1.15205,-1.01400,1.68475,0.26814,-1.32092,1.29739,2.40280,-1.47150,-1.12718,-0.38328,1.17251,-0.13507,-0.53019,-0.18595,1.00273,-0.44311,0.98252,0.53857,0.47773,-0.51374,-0.38524,-1.22686,-3.20311,-1.65680,0.88544,1.84902
x8,1.73076,-0.37067,1.05075,-1.62002,1.40946,-0.51860,0.24688,-0.19966,-0.25388,-0.55890,-0.35474,0.67918,1.15593,-0.20873,-0.58699,-0.92413,-0.31581,-0.41580,-1.11922,0.10671,1.68014,0.65078,-0.95885,1.77838,-0.66619,-0.83849,1.80775,1.02567,0.09488,0.27170,-0.08146,-0.41651,0.45338,0.67257,1.68259,-1.73307,1.71108,-2.28923,2.40361,-0.27214,-3.42475,-2.25021,-1.42789,0.36826,1.37594,0.00113,1.67167,-0.93150,2.01303,-3.58047,0.62550,-0.12550,-0.63231,-0.99691,-1.28154,0.89519,-0.99234,1.09513,-0.26642,2.02187,0.57284,0.44361,-1.20599,-1.41835,0.65574,-0.58020,0.86820,-0.39973,0.49945,0.55429,-0.62135,-0.25661,-2.38529,0.28747,0.52193,0.56629,0.58566,-0.14941,-0.52381,0.97855,1.30616,-0.67685,-0.42212,-0.14286,1.89541,0.11752,0.02448,0.19265,1.95426,-0.74918,-0.44716,1.85249,-1.24924,-1.27409,-1.80349,0.06071,-2.29340,0.25004,0.26703,2.97740
x9,1.24854,-0.15133,0.43872,-1.19786,0.63034,-1.17532,0.72762,2.95089,-1.27027,-0.19324,-0.49040,0.05146,0.22041,-0.24229,-1.64160,-0.64566,0.20617,0.28082,-0.80560,-0.84388,2.05596,0.96514,0.99107,1.21648,-0.82299,-1.44187,2.26948,0.02607,1.51498,1.42270,-2.42387,-0.57580,0.02270,-0.25722,1.94435,-1.11194,0.48381,-0.93612,1.67182,0.54795,-1.89460,-3.16340,-1.41927,-0.19668,0.93764,-0.13417,3.31827,0.00002,1.01739,-2.95661,-0.03138,1.11054,0.15117,0.73290,-0.76538,1.27823,-0.26972,-1.66210,0.75990,1.40524,0.39546,1.33846,-0.65910,-1.04425,-1.80530,-1.68754,0.70350,-0.65282,0.80295,1.50455,0.15783,-0.17525,-1.40305,-1.46202,-0.65500,1.37134,2.67684,-1.33995,-1.12970,0.63602,0.09546,-1.70124,0.53587,0.81755,2.94489,0.68184,-1.27379,1.32859,-0.03772,0.33695,-0.44803,0.98185,-1.86732,-1.92755,-0.49939,-0.86853,-1.53651,-1.84277,1.28782,0.25422
x10,1.83736,0.90495,2.36392,-0.33215,2.35493,-0.26409,0.09222,-1.29750,-0.88390,-1.30517,-3.35232,-1.10952,0.43517,-1.85176,-1.44508,-0.89505,-0.95516,-0.22314,0.05755,-0.11478,-0.20887,3.21569,-0.14500,-0.87296,-2.34640,-2.61851,1.25494,0.48263,1.39999,1.84123,-1.36807,-0.88095,0.04415,0.68770,2.05840,0.24210,-0.97918,-2.50445,2.50597,-0.63376,-3.13789,-2.48543,0.20217,0.21953,-0.39132,-0.75077,-0.88872,-1.13340,0.01424,-1.07722,1.33047,1.48025,-2.02605,-0.26039,-1.82382,-0.32571,-2.72916,-0.16439,-0.51120,2.59520,-1.75204,1.87777,-1.22899,-0.41793,1.51880,-0.59239,0.63648,-2.64639,0.93891,2.10518,0.34911,-0.45732,-0.64609,-1.40957,1.82852,2.19210,-0.96306,-1.60862,0.26122,1.86814,1.17250,-1.61011,-0.56482,-0.97629,1.37592,0.60385,-0.02508,1.15825,1.53404,1.62990,0.35661,-0.35513,-0.27746,-2.07531,-0.19352,-2.17306,-1.73188,-1.21343,0.03601,-0.68215
