id,rL,rLrL,rQvrai
1,2.08836,2.59156,2.59108
2,0.02961,-0.81923,-0.78220
3,0.48926,-0.66448,-0.69688
4,-0.69331,-0.35690,-0.37160
5,2.47177,3.99972,3.95235
6,-0.63216,-0.42942,-0.46524
7,0.56569,-0.60492,-0.62555
8,-0.29896,-0.71606,-0.73016
9,-1.29399,0.68356,0.70191
10,0.08063,-0.81926,-0.85024
11,-1.19349,0.46799,0.42988
12,-0.24735,-0.74407,-0.75814
13,0.94037,-0.17343,-0.05861
14,-0.70060,-0.34785,-0.37657
15,-0.90526,-0.05779,-0.08276
16,-0.87821,-0.10009,-0.13643
17,0.23957,-0.79182,-0.81258
18,-0.40455,-0.64506,-0.63012
19,-1.29186,0.67882,0.81194
20,0.85934,-0.28640,-0.27185
21,0.97964,-0.11480,-0.14706
22,1.42862,0.73664,0.69863
23,-0.39062,-0.65549,-0.57595
24,1.76234,1.58511,1.60575
25,-0.79064,-0.22875,-0.20120
26,-0.86891,-0.11436,-0.14655
27,1.12430,0.12319,0.09872
28,0.38064,-0.73252,-0.76704
29,-0.28793,-0.72242,-0.75697
30,1.56469,1.06039,1.01960
31,-0.99546,0.09200,0.05761
32,-0.44433,-0.61354,-0.60688
33,-0.29934,-0.71584,-0.56400
34,-0.29672,-0.71737,-0.72628
35,0.86352,-0.28083,-0.30013
36,-1.01592,0.12785,0.15414
37,1.65365,1.28858,1.55783
38,0.05424,-0.81978,-0.83746
39,1.46167,0.81246,0.77139
40,-0.38051,-0.66284,-0.69548
41,-1.36052,0.83545,0.80589
42,-2.41140,4.20388,4.17908
43,-0.19114,-0.76957,-0.80293
44,0.79139,-0.37276,-0.40624
45,0.29743,-0.77147,-0.80541
46,-0.54719,-0.51993,-0.50385
47,0.43532,-0.70070,-0.70975
48,-1.34858,0.80766,0.78466
49,1.20998,0.28044,0.24435
50,-1.33798,0.78319,0.74222
51,0.45436,-0.68847,-0.71900
52,0.27827,-0.77882,-0.81251
53,-1.28609,0.66601,0.65326
54,0.21765,-0.79808,-0.79395
55,-0.93857,-0.00403,-0.04166
56,-0.15727,-0.78241,-0.80075
57,-0.73750,-0.30066,-0.33464
58,0.56645,-0.60428,-0.57826
59,0.04179,-0.81963,-0.63360
60,1.77913,1.63266,1.63836
61,-0.02809,-0.81402,-0.80202
62,1.35180,0.56736,0.55211
63,-0.85792,-0.13103,-0.16811
64,-0.05614,-0.80949,-0.82684
65,-0.00339,-0.81692,-0.59084
66,-0.72159,-0.32128,-0.30454
67,0.35344,-0.74652,-0.73585
68,-1.42345,0.98585,0.94512
69,0.60785,-0.56795,-0.59150
70,0.92796,-0.19144,-0.22760
71,0.39498,-0.72466,-0.73055
72,0.49798,-0.65817,-0.69100
73,-0.97399,0.05514,0.01857
74,-0.24506,-0.74521,-0.77933
75,0.73800,-0.43527,-0.47105
76,0.82736,-0.32800,-0.33999
77,1.74807,1.54505,1.51623
78,-1.02927,0.15162,0.11433
79,-0.96062,0.03255,0.00006
80,1.16353,0.19368,0.17859
81,1.35810,0.58086,0.61233
82,-0.98519,0.07427,0.05456
83,-0.81720,-0.19106,-0.13705
84,-0.41327,-0.63838,-0.67043
85,0.59287,-0.58142,-0.58313
86,1.05457,0.00416,0.19103
87,-0.25701,-0.73916,-0.76394
88,0.17682,-0.80764,-0.69861
89,1.25631,0.37051,0.33164
90,-0.96448,0.03904,0.04024
91,-0.14997,-0.78493,-0.80912
92,1.61242,1.18119,1.26091
93,-0.61033,-0.45381,-0.45707
94,-1.19355,0.46811,0.44872
95,-0.43314,-0.62268,-0.65014
96,-0.73194,-0.30791,-0.33809
97,-2.35756,3.98703,3.99654
98,-0.86788,-0.11593,-0.15305
99,-0.64494,-0.41478,-0.40171
100,1.58058,1.10018,1.07840
