Gene,_LABEL_,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96,id97,id98,id99,id100
X1,"ST.NORMAL VAR., M=0, STD=1",-1.86295,-0.25761,-0.05428,0.50176,1.46195,0.82163,0.47774,-0.91091,0.04819,-0.01273,1.59400,1.43775,1.29457,0.67862,0.21479,0.05368,-2.47707,0.38608,-0.40861,-1.07379,-0.05579,-0.32134,0.05441,0.19993,0.85303,0.09080,-2.13861,0.22953,0.07116,0.07578,0.21298,-0.95024,-0.31080,-0.23061,-0.86052,0.89298,-1.49847,0.46761,1.37870,0.71642,-0.83375,0.75687,-0.49690,0.14581,0.86419,0.35544,-1.06389,-0.47156,1.80840,-0.31761,-0.41926,1.71462,-0.26344,1.47693,1.71959,1.08843,-0.55715,-0.22883,1.24816,0.91024,1.42060,0.53904,-0.03712,-0.36133,-0.62782,-0.82405,0.21285,-1.74145,0.41060,0.21564,-0.06629,2.50539,-0.76024,-1.80517,-1.26520,0.47416,0.60610,-0.87326,-1.13069,0.54983,1.12452,1.68383,-0.69684,-0.90185,-0.60431,-0.76634,-0.34555,1.69878,1.92877,-1.48760,-0.94893,0.15943,-1.20448,-1.88967,0.29328,0.40813,0.30446,-1.15979,-0.54216,-0.15348
X2,"ST.NORMAL VAR., M=0, STD=1",-1.12629,0.26747,-0.94980,-0.18865,1.08244,1.20381,-1.26330,0.74587,0.54839,-2.26398,-0.33412,0.35522,-0.00040,-0.35351,1.20210,0.41276,-2.37458,-0.09378,-0.91036,-0.99289,0.20727,1.39875,0.17234,0.99707,0.10708,-1.65686,-1.70348,0.80248,0.32210,0.32965,1.62963,-2.09723,-0.02060,0.17055,-1.27098,1.06210,-0.70583,-0.97112,-0.87123,0.20180,-0.87801,-0.32481,-0.00720,-0.57796,-0.68510,0.64500,-0.45054,0.55207,2.17475,0.24088,0.47452,0.54977,1.72656,0.52775,1.50312,1.42702,0.10983,0.01596,1.11462,0.71797,-0.75014,1.77376,-0.50852,-0.62207,0.55438,-1.68699,-0.95660,0.66623,-1.93032,0.07367,-0.83722,-0.85242,-0.55658,-0.12677,-0.93093,-0.68080,-1.11789,-1.22899,-1.41374,-0.42311,-0.05121,-0.10682,-0.28391,-0.68043,0.48437,-1.13012,0.22709,0.86592,1.57513,-1.52811,-0.00578,-1.11623,0.20346,-1.39105,0.60033,-0.46208,0.48420,-0.58008,-0.52303,-0.25103
X3,"ST.NORMAL VAR., M=0, STD=1",-0.49120,-0.49816,-0.98775,-0.06001,0.45529,2.09158,-0.10087,-0.72406,0.64249,0.38313,-0.25549,0.63480,1.35197,0.12868,0.18815,1.44585,-1.15591,-0.49348,-1.48333,-1.94380,-0.34798,1.82813,-1.39597,1.49927,1.03502,1.35394,-2.28238,0.42460,0.51428,0.17572,1.22966,-0.51338,0.52613,-0.75784,1.07695,0.48517,-0.34162,0.40200,0.49889,-1.37656,0.78289,1.59162,-1.15400,-0.65732,-1.00086,-0.44788,0.24571,-1.24377,0.38483,-0.83798,1.58796,1.98813,0.42020,0.44527,0.94718,1.51104,-1.93369,-0.62846,-0.26683,1.08911,0.10456,0.63957,-1.98665,0.45692,-0.85928,-0.72910,1.55003,-1.32025,-0.48434,-1.49267,0.62750,1.02035,-0.29797,-0.57043,-0.91957,-0.55183,-0.59847,-1.36334,-0.03765,0.34895,0.04501,-0.04664,-3.24272,0.55118,0.52999,-1.81640,-1.00130,1.42281,1.61554,-0.33550,-0.30964,0.20929,0.85025,-1.14614,-0.22195,0.32376,0.05998,-1.41966,1.17554,-0.82401
X4,"ST.NORMAL VAR., M=0, STD=1",-2.16934,0.05002,-1.04891,-0.51242,-0.29964,1.65742,0.51622,-1.78650,-0.71363,1.07344,0.86164,-0.19005,0.67156,0.79337,-0.38071,1.13606,-2.36376,1.61710,-2.40916,-1.17839,-0.46673,0.35434,1.04831,0.66097,-0.08759,1.95122,-3.11341,-0.61292,0.46487,0.48521,1.08401,0.67253,-0.49283,-0.38830,-0.24657,2.08894,-0.48547,1.36522,0.28150,-1.64749,-0.43972,0.49932,0.83760,0.57255,-0.14855,1.14627,-0.12437,-0.50635,-0.52648,0.40528,-0.17882,0.20312,0.07897,0.46819,0.83650,0.10521,-0.49749,0.03239,1.59858,0.47404,0.66345,0.29560,0.30978,-0.14046,-0.21969,-0.67574,-0.33439,0.54695,-1.47146,-1.05428,-0.03945,0.58329,-0.34876,-0.94399,0.60444,-0.80701,-0.62808,-1.41728,0.33791,0.25110,0.69724,-0.36258,-1.89440,0.69044,-0.30142,-1.71418,0.38359,0.35639,1.10762,-2.45540,-0.05970,-0.61926,-0.04831,0.23059,-0.46561,-0.14929,-0.18869,-0.44242,-0.59488,1.22281
X5,"ST.NORMAL VAR., M=0, STD=1",-0.48692,0.09450,-0.92615,0.66993,0.02499,1.17613,-1.26680,0.23876,1.03851,-1.19026,1.98902,-0.29766,1.10807,-1.02640,0.93786,-0.31279,-1.63403,-0.75314,-0.70675,0.45709,-0.24975,1.05564,-1.18530,0.07825,0.74350,0.75519,-0.95894,-0.43684,0.02230,0.48877,0.03797,-0.45087,-1.03940,0.56745,0.17556,0.08127,-1.41078,-0.14650,-1.21184,-0.21424,-0.96286,0.88159,-0.48441,-0.25174,0.00095,0.96671,0.36988,0.75770,2.22245,0.00957,-0.84808,0.59399,-0.02401,-1.15092,1.47279,1.52302,-0.43136,-0.03283,0.64355,1.03990,-0.19332,1.50955,1.27569,-0.85133,0.01305,-1.18291,0.15730,-0.11503,-0.44462,-1.16967,-0.03166,1.97281,0.50948,-1.12486,0.32249,0.09167,0.34641,-0.70234,-0.64287,0.79287,0.23621,0.03691,-1.74215,-0.83210,-1.66947,-1.09400,-1.03560,0.33852,1.89464,-0.22068,-0.25869,-0.70547,0.49441,-0.90390,0.11738,-0.36047,0.51071,-0.03090,-0.51295,0.52066
X6,"ST.NORMAL VAR., M=0, STD=1",-0.76422,0.06125,0.02554,-0.05831,1.00796,0.63673,-0.79799,0.25592,0.83612,-0.10262,0.32421,0.24528,-0.03700,0.42227,-1.02891,0.36183,-1.70742,0.26211,-0.06683,-0.42869,0.94587,0.03152,0.23069,-0.29027,0.84537,1.03764,-1.82056,-1.47306,-0.34082,0.33488,-0.26444,-1.52141,-0.87870,0.62537,-0.03740,1.63533,-0.74602,-1.00739,2.29193,-1.30104,-0.19792,0.44171,-0.38491,0.52719,-0.62356,-0.20152,1.00238,-1.27950,1.26961,0.57786,0.56613,1.57921,0.55499,0.93565,1.75501,-1.13318,-0.40374,-1.66496,0.89457,0.22098,0.20758,0.10488,-0.62689,0.65754,1.06105,-0.29111,-0.39436,-0.37446,-0.90769,-1.19019,-0.05010,-0.31564,-0.09527,-0.23198,-0.26860,0.04045,0.04618,-1.82644,-0.70037,-0.35996,0.75179,0.25500,-1.64341,-1.83871,-0.26249,-0.91232,1.36438,2.37333,2.06300,-0.53769,-0.53571,-0.81130,0.50397,-1.09652,-0.78653,0.75995,-0.71526,-0.47576,-0.52652,0.10388
X7,"ST.NORMAL VAR., M=0, STD=1",-0.94818,1.21693,-0.75765,-0.01863,1.52728,1.27644,-2.17055,-0.11995,1.28211,-0.76948,1.16611,-0.18350,1.29405,1.17034,0.48338,1.14543,-1.69418,0.38698,-1.06241,-1.37487,-0.37341,0.23943,0.27506,0.38665,1.09796,0.89750,-1.82194,1.03842,1.05866,1.08137,0.81951,-0.97710,-0.94532,1.43973,-0.43552,1.55246,-0.97761,0.14508,0.27485,0.28392,-0.75322,1.03977,0.29253,1.10263,0.66530,0.70239,-0.52590,0.30162,0.53726,1.88834,0.59083,0.99474,1.33961,2.52057,1.90706,0.92010,-1.21896,0.47298,0.68530,2.81510,-1.05229,0.57637,-0.95229,0.81311,0.58620,-2.07921,-0.13554,-0.63702,-1.30298,-0.38103,1.15434,1.01750,-0.01218,0.19840,-1.25103,-0.11005,-0.77335,-1.14784,-0.98533,-0.52315,1.21475,0.97358,-2.86579,-0.87047,-0.03400,-0.61573,0.62839,0.97131,-0.25123,-0.32531,-0.76000,-0.76749,-0.20945,-1.41431,-0.59618,0.02518,-1.24840,0.04353,-0.09298,0.00280
X8,"ST.NORMAL VAR., M=0, STD=1",-1.86831,1.44420,-0.46459,-0.73379,0.52589,1.86380,-0.54888,-1.04228,1.01333,-0.39923,-0.16177,0.63664,1.46980,1.06300,1.10918,0.67731,-1.81298,-0.33614,-1.24518,-1.23581,0.04377,0.68145,-0.81227,0.09680,0.34796,1.73218,-2.51335,0.33460,0.19539,0.73832,-0.04131,0.44637,0.09345,1.48509,-0.62429,1.92960,-1.07890,0.04255,-0.19457,-1.13322,0.29308,0.79776,-0.30995,-0.91431,0.00314,-0.30092,-1.33939,-0.18478,1.68719,-0.30366,-0.05433,1.05615,1.62227,0.33853,1.64850,1.49431,0.00353,-1.16954,0.85278,0.75154,0.81949,1.46375,0.80015,0.60198,0.29510,0.10529,0.93074,-0.03534,-1.43767,-0.48349,0.57382,1.44505,0.16724,-0.13923,-0.83373,0.21537,-0.18925,-0.51099,-1.17865,0.45564,1.69424,0.51913,-1.29610,-0.54277,-1.07789,-1.99449,1.10173,1.70951,0.42771,-0.28995,0.80038,-1.16537,0.91334,-0.46120,-0.71732,-0.27787,1.22939,0.38963,-1.88449,-0.04883
X9,"ST.NORMAL VAR., M=0, STD=1",-1.78375,0.48408,-0.88149,0.38074,0.91990,1.53684,0.11374,0.56840,-0.14220,-0.30417,0.46906,0.75026,0.91126,-0.34243,-0.08612,0.45552,-1.64580,-0.29027,-0.66162,-1.36579,-0.07024,0.60897,0.40506,-0.44854,-0.20934,-0.11053,-1.99290,-0.27485,0.88509,0.80184,1.07563,-0.83890,-0.23322,-0.62048,-0.28028,0.47526,-1.42360,1.63276,2.44248,-0.13213,-1.56371,0.76569,-1.89530,0.12203,0.86453,0.06983,-0.78540,-0.22563,1.11996,-0.43460,1.81315,1.16469,1.21785,0.26504,0.43741,0.48852,-0.60217,0.69183,0.86419,0.39684,0.99031,-0.96977,-1.70517,-0.89101,-0.37145,0.13370,-0.82370,-0.02750,-0.11301,-0.88864,0.48007,1.46649,-1.07436,-0.33066,-0.28241,-0.04489,1.13592,-1.82500,0.10802,0.26542,1.04643,1.10661,-2.11886,-1.23485,0.52885,-2.78383,-1.69915,1.33620,1.34872,-1.45992,0.41647,-1.13802,0.49717,-1.07594,-1.24443,0.09468,-0.80475,0.22831,-1.14205,-0.75560
X10,"ST.NORMAL VAR., M=0, STD=1",-1.59122,0.28945,-0.14472,-0.81374,0.77493,1.36252,-0.41048,2.04371,1.79838,0.36637,0.77633,1.28067,0.97869,0.68748,0.97873,0.42703,-1.23915,-0.75643,-1.66003,-1.42746,0.22639,2.25249,0.43111,-0.31460,0.87477,0.95811,-2.58292,0.34985,0.06570,0.07621,1.61433,0.10879,-0.24038,1.20281,-0.35687,-0.30655,-2.02389,0.19065,0.67232,-1.37119,-1.01105,1.80148,-0.82171,0.31461,0.20518,0.15257,0.64532,0.04225,1.93294,1.28329,0.28016,1.84501,0.21179,0.88976,1.90186,0.55950,-0.70771,-2.22860,0.31053,2.52864,1.21099,0.43735,0.36213,0.73722,1.00257,-0.56033,-0.42785,0.61940,-1.59353,0.60196,0.60420,1.96202,0.64640,-0.56390,-0.36019,-0.68703,0.25511,-1.15748,-0.62369,-0.16912,0.18506,1.20853,-0.62326,-1.38878,0.00489,-1.35478,0.13493,1.38930,1.77709,-0.09472,-0.13556,-0.42856,-0.36143,-1.30454,-1.27863,0.15722,-0.07638,-0.40223,0.73928,-0.06231
