rL,id
2.59924,1
-0.53264,2
0.73192,3
-0.25144,4
1.75942,5
1.42258,6
0.43461,7
-0.47625,8
0.38630,9
0.85321,10
0.06879,11
-0.29175,12
-1.32912,13
-0.26807,14
-0.59000,15
0.39662,16
-1.19154,17
-1.13912,18
0.15201,19
-1.59068,20
-0.16376,21
-0.24351,22
-0.11776,23
-0.79977,24
0.06503,25
1.70450,26
1.38936,27
0.01159,28
-0.54635,29
2.79506,30
0.34917,31
0.34434,32
-0.20784,33
0.72790,34
1.50335,35
-2.06087,36
-0.94854,37
-0.36089,38
-0.20181,39
-0.42110,40
-0.81207,41
-1.30482,42
1.25898,43
-0.41948,44
0.25792,45
1.58512,46
-0.23024,47
0.47974,48
0.22885,49
0.37993,50
-0.13806,51
0.75012,52
1.30291,53
-0.19195,54
-0.23738,55
-1.55624,56
0.20369,57
-1.02130,58
-0.96495,59
-0.29463,60
-0.27768,61
0.25736,62
2.36792,63
-0.22483,64
-1.84132,65
0.06525,66
0.86115,67
-0.29091,68
-0.52608,69
1.02499,70
-1.89274,71
0.04848,72
-1.96750,73
1.17094,74
1.05210,75
-1.64655,76
-1.93317,77
-0.33735,78
0.01864,79
0.27297,80
1.07818,81
-0.38872,82
0.43761,83
1.01994,84
0.54744,85
-0.08876,86
-1.19678,87
-0.71018,88
0.86995,89
-0.51153,90
0.70660,91
-0.84198,92
-0.82464,93
1.30410,94
0.35702,95
-1.18838,96
-0.39764,97
-0.97664,98
0.62280,99
0.74165,100
