id,rL,rLrL,rQvrai
1,-1.11166,-1.09321,-1.11801
2,-0.91734,-0.92852,-0.99607
3,-0.97650,-0.97925,-1.01873
4,-1.15669,-1.13057,-1.10277
5,-1.21368,-1.17742,-1.18402
6,-0.18189,-0.25392,-0.30510
7,-0.64514,-0.68829,-0.69577
8,-0.93894,-0.94710,-0.89943
9,-0.98187,-0.98384,-0.93982
10,-1.29658,-1.24469,-1.20397
11,-1.01779,-1.01436,-1.02503
12,-0.08389,-0.15790,-0.18005
13,-0.57539,-0.62494,-0.59324
14,-1.12563,-1.10484,-1.16726
15,-1.45804,-1.37276,-1.37449
16,-1.01513,-1.01210,-1.04995
17,-0.72596,-0.76077,-0.86701
18,-0.81871,-0.84276,-0.78742
19,-1.29222,-1.24118,-1.25916
20,-1.55237,-1.44578,-1.42779
21,-0.91488,-0.92639,-0.83882
22,-0.66869,-0.70951,-0.76943
23,-0.90482,-0.91770,-1.01075
24,-1.17919,-1.14913,-1.17813
25,-1.12210,-1.10190,-1.05457
26,-0.58513,-0.63383,-0.59770
27,-0.84635,-0.86693,-0.84633
28,-1.09368,-1.07822,-1.18762
29,-0.54929,-0.60105,-0.51869
30,-0.76794,-0.79804,-0.83315
31,-1.20423,-1.16968,-1.22978
32,-1.12441,-1.10383,-1.09564
33,-1.47251,-1.38405,-1.33520
34,-1.21867,-1.18149,-1.23839
35,-0.85121,-0.87117,-0.87521
36,-0.79985,-0.82618,-0.78802
37,-1.20104,-1.16707,-1.14549
38,-1.12767,-1.10653,-1.05052
39,-0.46106,-0.51953,-0.59749
40,-1.39198,-1.32084,-1.27897
41,-1.19919,-1.16555,-1.15732
42,-0.75362,-0.78535,-0.78418
43,-0.89084,-0.90562,-0.92098
44,-1.61430,-1.49299,-1.55379
45,-1.43879,-1.35770,-1.29077
46,-0.93934,-0.94745,-0.95432
47,-0.73417,-0.76808,-0.70927
48,-0.78828,-0.81599,-0.66152
49,-1.51604,-1.41782,-1.42255
50,-0.94694,-0.95397,-0.99084
51,-0.75391,-0.78561,-0.78131
52,-0.94848,-0.95529,-0.94413
53,-1.05111,-1.04251,-1.05428
54,-0.61174,-0.65804,-0.62524
55,-1.01252,-1.00989,-1.00986
56,-1.01850,-1.01496,-1.00513
57,-0.53212,-0.58528,-0.54460
58,-1.06766,-1.05641,-1.05191
59,-0.97382,-0.97697,-0.98584
60,-0.81464,-0.83918,-0.84921
61,-0.91471,-0.92624,-0.97907
62,-0.70516,-0.74221,-0.82122
63,-1.08083,-1.06747,-0.97602
64,-0.98039,-0.98257,-1.04877
65,-1.00723,-1.00540,-0.99410
66,-0.74936,-0.78157,-0.74820
67,-1.10327,-1.08622,-1.00215
68,-1.04861,-1.04039,-1.11383
69,-0.81272,-0.83750,-0.86219
70,-0.99904,-0.99845,-0.99650
71,-0.79029,-0.81777,-0.89052
72,-1.13968,-1.11650,-1.04561
73,-0.65762,-0.69954,-0.76051
74,-1.24764,-1.20510,-1.31319
75,-0.72645,-0.76120,-0.73904
76,-1.20614,-1.17125,-1.16756
77,-0.96145,-0.96639,-0.89757
78,-0.37913,-0.44279,-0.42884
79,-1.15460,-1.12885,-1.08770
80,-0.65887,-0.70067,-0.66924
81,-0.99574,-0.99565,-0.83443
82,-0.99026,-0.99099,-1.02579
83,-1.31938,-1.26302,-1.21916
84,-0.77307,-0.80257,-0.67271
85,-0.85120,-0.87116,-0.87984
86,-1.64437,-1.51570,-1.62295
87,-0.79786,-0.82443,-0.80259
88,-0.91323,-0.92497,-0.98890
89,-1.24255,-1.20097,-1.21138
90,-1.06653,-1.05547,-1.03780
91,-0.53214,-0.58530,-0.51444
92,-0.53495,-0.58788,-0.49448
93,-1.34459,-1.28318,-1.35694
94,-0.65036,-0.69299,-0.52201
95,-1.14792,-1.12332,-1.13886
96,-0.76047,-0.79143,-0.74997
97,-1.11050,-1.09225,-1.14202
98,-0.75722,-0.78855,-0.86428
99,-0.90552,-0.91831,-0.86243
100,-0.85442,-0.87397,-0.91304
101,0.76170,0.73034,0.71214
102,1.03988,1.04598,1.04567
103,0.46391,0.40531,0.40187
104,1.05322,1.06141,1.10002
105,1.14802,1.17182,1.19635
106,1.00245,1.00284,0.97087
107,1.10342,1.11971,1.11534
108,0.93946,0.93070,0.99228
109,1.24422,1.28523,1.32612
110,0.86141,0.84214,0.84583
111,0.34491,0.27913,0.27674
112,0.78643,0.75792,0.77685
113,1.26453,1.30935,1.35815
114,1.40555,1.47854,1.45465
115,1.30687,1.35983,1.34827
116,1.15835,1.18392,1.19674
117,1.16729,1.19442,1.14003
118,0.83268,0.80977,0.86679
119,1.42777,1.50547,1.54708
120,0.90008,0.88590,0.89270
121,1.01743,1.02008,1.10682
122,0.75154,0.71902,0.71492
123,1.11078,1.12829,1.05670
124,1.58162,1.69396,1.60499
125,1.31311,1.36729,1.38033
126,0.57914,0.52950,0.58405
127,1.27737,1.32463,1.27568
128,1.28225,1.33044,1.32673
129,0.68183,0.64185,0.56028
130,0.76784,0.73718,0.75607
131,1.00098,1.00114,1.03633
132,1.30271,1.35486,1.36682
133,0.80820,0.78229,0.85820
134,0.36642,0.30178,0.28733
135,1.37674,1.44373,1.58276
136,0.93973,0.93101,0.81245
137,0.95822,0.95212,0.89476
138,1.00945,1.01088,0.97649
139,0.82638,0.80269,0.70913
140,0.68913,0.64990,0.65676
141,0.79040,0.76237,0.72413
142,0.97519,0.97154,1.08769
143,1.04455,1.05138,1.06119
144,1.72130,1.86816,1.81505
145,0.96171,0.95611,0.90727
146,0.80698,0.78093,0.72872
147,0.98712,0.98522,1.01144
148,0.89863,0.88426,0.98863
149,0.49940,0.44334,0.40047
150,0.83060,0.80743,0.74517
151,0.98534,0.98318,0.92766
152,1.03925,1.04525,1.01749
153,1.06296,1.07269,1.04823
154,0.91773,0.90595,0.89535
155,0.76403,0.73293,0.80190
156,0.44009,0.37988,0.41479
157,0.80521,0.77895,0.83144
158,0.84821,0.82725,0.73805
159,1.34455,1.40498,1.55313
160,0.62863,0.58345,0.54926
161,1.20928,1.24387,1.20016
162,0.97876,0.97563,0.96473
163,0.83144,0.80838,0.79397
164,1.22133,1.25811,1.22553
165,1.25799,1.30157,1.28469
166,0.91591,0.90388,0.83712
167,1.18535,1.21565,1.20499
168,1.44081,1.52130,1.48409
169,0.88948,0.87388,0.91029
170,0.33935,0.27329,0.15927
171,1.08786,1.10159,1.09420
172,0.42793,0.36693,0.42093
173,0.85469,0.83456,0.81226
174,1.00095,1.00111,1.02459
175,0.99429,0.99345,1.04774
176,1.27833,1.32578,1.30570
177,0.80264,0.77606,0.76936
178,0.45534,0.39615,0.36417
179,0.93780,0.92881,0.85347
180,0.79932,0.77234,0.93164
181,0.96997,0.96557,0.96488
182,0.63512,0.59055,0.57170
183,1.67124,1.80539,1.82514
184,0.74794,0.71503,0.68232
185,1.08574,1.09913,1.08259
186,0.83281,0.80992,0.88815
187,0.59181,0.54327,0.53088
188,1.07054,1.08148,1.14406
189,0.74584,0.71269,0.70969
190,1.04859,1.05605,0.98571
191,1.00385,1.00444,1.01431
192,0.81313,0.78781,0.70210
193,1.06812,1.07867,1.03388
194,1.16765,1.19484,1.12066
195,0.74452,0.71122,0.68339
196,0.93575,0.92647,0.85966
197,0.91771,0.90593,0.94920
198,0.86563,0.84690,0.77029
199,0.92013,0.90868,1.00861
200,0.74175,0.70815,0.78263
