rL,id
2.41843,1
-0.33207,2
0.86387,3
0.21991,4
-0.95908,5
0.09316,6
-0.32085,7
-0.08251,8
0.80417,9
0.05909,10
-0.58665,11
0.20372,12
-0.77063,13
-2.05064,14
-0.39660,15
-0.24815,16
0.14732,17
-0.93073,18
-0.09677,19
2.60386,20
-0.13004,21
0.20674,22
-1.05537,23
-2.02718,24
0.78115,25
0.02495,26
-0.33900,27
-1.23147,28
0.27196,29
-0.78446,30
0.72424,31
2.79747,32
-0.55359,33
-0.37327,34
-0.22216,35
1.21579,36
0.30764,37
-0.98412,38
0.29876,39
-0.05018,40
-0.32620,41
-0.79638,42
-2.29045,43
1.08069,44
1.32923,45
-0.99596,46
0.37750,47
0.52132,48
0.32824,49
-0.77792,50
0.00852,51
-1.76497,52
-0.55053,53
0.35533,54
-0.35612,55
0.88918,56
0.25581,57
-0.04435,58
0.52154,59
-0.55748,60
-1.81014,61
0.26848,62
-1.02972,63
2.15621,64
-1.47139,65
0.48522,66
0.54410,67
0.57748,68
-1.26665,69
0.00911,70
1.30123,71
0.43431,72
1.30791,73
-1.64012,74
0.23305,75
-1.10638,76
-1.54605,77
0.31851,78
-0.14149,79
1.53676,80
-1.12866,81
-0.12791,82
-1.96924,83
-1.44716,84
0.74113,85
0.00444,86
-0.22515,87
-0.33732,88
0.48296,89
0.04797,90
0.12445,91
-0.60732,92
0.34757,93
0.53526,94
-0.21442,95
0.54487,96
0.56742,97
-0.26960,98
0.20082,99
-3.81099,100
-0.37654,101
-1.88224,102
-0.16025,103
-0.19849,104
-0.44063,105
1.18767,106
-0.46722,107
1.20466,108
-0.02804,109
0.23772,110
1.75863,111
-0.59825,112
0.82058,113
-1.05027,114
0.09698,115
0.77480,116
0.41721,117
-0.03001,118
-0.70985,119
1.07677,120
0.70249,121
-0.24929,122
0.41986,123
0.38746,124
0.15959,125
0.22716,126
0.73748,127
1.08256,128
-0.22427,129
-0.40512,130
0.51394,131
0.11687,132
-1.80756,133
0.55764,134
-0.73866,135
1.12432,136
-0.27138,137
-1.74649,138
0.18870,139
-0.66126,140
-1.21201,141
0.24874,142
-0.19283,143
-0.42046,144
2.06793,145
0.39134,146
-0.23465,147
-0.51145,148
1.28565,149
0.45477,150
-0.31533,151
-0.47811,152
1.10434,153
0.02626,154
0.69442,155
0.65297,156
-0.44678,157
0.25281,158
0.32249,159
0.04696,160
0.12163,161
-2.25069,162
-0.49090,163
0.70161,164
0.18844,165
3.27152,166
1.13502,167
1.30923,168
0.52910,169
-0.42869,170
0.82673,171
-0.74649,172
1.15185,173
-0.15315,174
0.53434,175
-2.34463,176
0.27171,177
-0.50635,178
-0.00710,179
1.15769,180
-0.39504,181
2.60053,182
-0.64501,183
-0.00913,184
0.42887,185
0.87387,186
2.01471,187
-0.77674,188
-0.14592,189
-0.20923,190
1.54356,191
-0.51432,192
2.51328,193
1.42059,194
0.89696,195
0.29409,196
0.51671,197
-1.69821,198
0.71847,199
-0.12251,200
1.33438,201
0.32382,202
-0.08537,203
0.31670,204
0.51256,205
0.33994,206
-0.58346,207
0.71057,208
1.01516,209
-1.94143,210
0.27962,211
-0.02120,212
1.39965,213
0.55754,214
0.83366,215
-0.08976,216
0.70444,217
0.26853,218
1.69918,219
0.26431,220
-0.62722,221
0.28015,222
-0.74624,223
1.56504,224
0.45488,225
0.46535,226
1.72441,227
0.83621,228
0.77933,229
-1.84992,230
0.00212,231
-1.19386,232
0.45313,233
0.51932,234
-1.31341,235
2.38679,236
1.47655,237
0.34656,238
0.84730,239
2.20795,240
-0.86711,241
0.90000,242
-0.66558,243
2.79271,244
1.48942,245
-0.68432,246
0.42215,247
-0.71338,248
0.24415,249
0.03947,250
1.02109,251
0.76038,252
-0.43933,253
-0.41258,254
-0.33235,255
-0.09722,256
-0.40155,257
-0.32270,258
-0.42429,259
-0.02035,260
0.20394,261
0.18134,262
0.57328,263
0.88703,264
-0.29989,265
-0.61129,266
-1.07393,267
1.07961,268
-0.23111,269
1.44599,270
-0.81028,271
-0.33209,272
-0.46141,273
2.59219,274
-0.27016,275
0.14692,276
0.72616,277
0.45510,278
-0.14741,279
-0.67999,280
-1.22413,281
1.60185,282
-1.15757,283
-1.09762,284
0.34837,285
1.02652,286
-0.28489,287
-1.52917,288
0.44129,289
2.13892,290
0.24677,291
-1.23919,292
0.51035,293
-0.20963,294
-0.88597,295
1.97265,296
0.23335,297
2.15888,298
-0.85855,299
0.27682,300
0.04741,301
0.10106,302
-0.69777,303
0.33419,304
0.18359,305
0.09922,306
0.30775,307
0.41162,308
-1.30594,309
0.41490,310
-1.81064,311
0.60066,312
0.08355,313
0.12700,314
-0.23000,315
2.10322,316
-0.01231,317
2.01066,318
1.42261,319
0.10878,320
-1.00108,321
-0.29342,322
0.31862,323
-0.62671,324
0.28513,325
-0.27975,326
0.29060,327
-0.54618,328
0.37145,329
0.04082,330
0.30558,331
-0.16815,332
-0.92963,333
-0.19161,334
-0.58545,335
3.80523,336
-0.67006,337
-0.14236,338
-0.61131,339
-0.77710,340
-0.04869,341
0.90315,342
0.36979,343
1.83686,344
-0.01266,345
1.22880,346
-0.11687,347
0.92896,348
0.64571,349
-0.24722,350
-2.01268,351
-0.51449,352
-0.01167,353
0.35909,354
-0.36181,355
0.18690,356
-0.19979,357
2.28130,358
-0.96141,359
-0.19964,360
0.18289,361
-1.06833,362
2.58853,363
1.64607,364
-0.26633,365
0.01513,366
1.15716,367
0.95295,368
-1.90572,369
0.70108,370
-0.25647,371
1.27385,372
-0.17954,373
0.19297,374
-1.96598,375
-1.50412,376
-1.94130,377
0.77942,378
0.03695,379
0.51908,380
1.31994,381
0.06513,382
0.16848,383
-0.68887,384
-0.32198,385
-0.50668,386
-0.16962,387
-1.66398,388
0.45892,389
-2.32288,390
-1.21760,391
1.17011,392
0.16074,393
0.18557,394
0.36348,395
-0.32194,396
-1.26502,397
1.28913,398
0.17298,399
-0.59788,400
0.13816,401
-1.02151,402
-0.00663,403
-0.04071,404
-0.73419,405
0.49782,406
-1.51776,407
1.01607,408
0.14642,409
0.71887,410
1.00025,411
-1.75001,412
0.26923,413
-0.15462,414
-1.14347,415
0.17836,416
-0.74570,417
0.97189,418
-0.55406,419
-0.70159,420
0.15098,421
0.41584,422
-0.98438,423
-0.23823,424
-1.28360,425
-1.51657,426
0.68515,427
-1.15306,428
0.72750,429
1.75755,430
-0.73207,431
0.47338,432
-0.87062,433
0.51117,434
-0.68899,435
1.39021,436
-0.14074,437
-0.36632,438
0.82670,439
-0.23752,440
1.55343,441
0.27919,442
-0.78587,443
0.93512,444
0.44630,445
-0.64363,446
0.00356,447
2.15494,448
0.49670,449
-0.39058,450
-1.43774,451
-0.12703,452
0.54256,453
-2.21011,454
1.88875,455
1.26815,456
-0.19032,457
2.47413,458
1.65791,459
0.36510,460
0.32269,461
-0.72577,462
-0.05642,463
0.89031,464
-0.77563,465
-1.57668,466
-0.09129,467
0.54757,468
0.70362,469
-0.10831,470
0.50744,471
-0.64501,472
-0.99380,473
-0.07997,474
0.88885,475
-0.95863,476
2.80192,477
0.30530,478
-0.06164,479
-0.54460,480
-0.49971,481
0.14380,482
-0.31189,483
-1.57912,484
0.16840,485
-0.34615,486
0.38030,487
-0.16426,488
2.66421,489
-0.95248,490
-0.02185,491
-2.32058,492
-1.19761,493
0.37015,494
1.93453,495
1.69663,496
2.72247,497
1.20365,498
-0.83940,499
0.67662,500
0.50912,501
-1.75216,502
1.67500,503
-3.75568,504
1.04321,505
-2.04520,506
-0.40236,507
0.09869,508
0.36945,509
0.08428,510
-1.54429,511
0.20323,512
-0.32547,513
0.59174,514
0.39309,515
-1.88270,516
0.42101,517
0.72083,518
-0.37093,519
-0.66873,520
-0.39268,521
-0.59139,522
-0.20739,523
-0.27397,524
0.50898,525
-0.58951,526
-0.91382,527
0.49011,528
2.12198,529
0.34620,530
-1.40404,531
-0.72180,532
0.67290,533
-0.18062,534
0.73086,535
0.55716,536
0.87484,537
0.08685,538
1.10199,539
-1.34098,540
-0.15410,541
0.70777,542
0.51201,543
-0.48769,544
1.15715,545
-1.75372,546
-0.63247,547
0.01872,548
0.24046,549
-0.40609,550
-1.39312,551
0.46656,552
0.40158,553
-0.19516,554
0.99862,555
0.10137,556
0.09571,557
-0.78372,558
1.40390,559
0.79161,560
0.76172,561
0.45365,562
-0.20145,563
-1.45480,564
-0.41281,565
-0.18295,566
-0.25997,567
0.63188,568
0.05777,569
-0.69510,570
0.18620,571
-0.54383,572
0.19124,573
-0.82374,574
0.66225,575
0.23237,576
-0.33430,577
0.86745,578
0.32117,579
-0.57644,580
-0.91661,581
0.47408,582
-0.40498,583
-0.05913,584
0.06627,585
-0.13733,586
-0.22938,587
-0.71894,588
-0.92097,589
0.64957,590
-0.17343,591
-0.69619,592
0.77371,593
0.10626,594
0.23823,595
-1.03361,596
0.48462,597
-0.69128,598
1.13877,599
-1.27420,600
0.30059,601
-0.68062,602
0.69312,603
-2.14654,604
-0.40191,605
1.69038,606
1.54608,607
0.34630,608
1.86252,609
0.62289,610
0.60206,611
-1.59352,612
0.36926,613
1.38705,614
1.24335,615
-0.29595,616
-0.39337,617
-0.42147,618
-0.88913,619
0.25626,620
0.26914,621
0.21331,622
-0.79410,623
-0.41635,624
0.05293,625
-0.50714,626
0.08806,627
-0.08783,628
0.42959,629
-0.94859,630
0.48177,631
-1.12076,632
-0.45946,633
0.10818,634
-0.11411,635
-0.89725,636
1.58409,637
1.00771,638
-0.07078,639
-1.09276,640
-0.61051,641
-0.86321,642
-2.80576,643
0.98695,644
0.93681,645
0.08628,646
1.05128,647
1.17589,648
-0.07632,649
-0.74687,650
0.22853,651
-0.59105,652
0.51390,653
0.16195,654
-1.15544,655
0.66924,656
1.58932,657
0.66983,658
-0.11080,659
-0.03381,660
0.00121,661
0.09159,662
-1.44280,663
-1.21523,664
-0.48493,665
0.25273,666
-1.33128,667
-0.46989,668
-0.61750,669
-1.97077,670
-0.13075,671
0.53852,672
-0.38697,673
-0.41616,674
0.06147,675
0.16721,676
-0.23265,677
-1.44318,678
0.52476,679
0.87109,680
2.07136,681
-0.63784,682
1.58368,683
0.12649,684
0.75681,685
0.53547,686
-1.21603,687
1.29325,688
0.46694,689
-0.65935,690
-0.47003,691
0.47893,692
-0.03164,693
-3.04630,694
0.61635,695
0.32613,696
-1.33141,697
-0.02062,698
-2.15894,699
0.14615,700
0.13091,701
-0.64639,702
1.69014,703
0.18034,704
-0.91312,705
-0.14076,706
-1.00512,707
-1.77642,708
2.01173,709
0.44292,710
-0.66912,711
1.22300,712
-0.70981,713
0.81443,714
0.55612,715
